REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tmp1.wav	 tmp2.wav	 SQValue=3.761	 3.761	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.766	 3.766	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.767	 3.767	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.768	 3.768	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.017	 1.017	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.256	 1.256	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.611	 1.611	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.674	 1.674	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.774	 1.774	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.994	 1.994	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.146	 2.146	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.653	 2.653	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.673	 3.673	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.111	 4.111	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.386	 4.386	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.873	 1.873	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.173	 2.173	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.216	 3.216	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.392	 3.392	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.421	 3.421	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.485	 3.485	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.495	 3.495	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.494	 3.494	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.492	 3.492	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.492	 3.492	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.491	 3.491	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.790	 1.790	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.224	 2.224	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.164	 3.164	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.360	 3.360	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.450	 3.450	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.574	 3.574	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.604	 3.604	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.607	 3.607	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.608	 3.608	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.607	 3.607	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.606	 3.606	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.333	 1.333	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.527	 1.527	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.811	 1.811	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.915	 1.915	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.964	 1.964	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.216	 2.216	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.473	 2.473	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.920	 2.920	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.667	 3.667	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.965	 3.965	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.262	 4.262	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.062	 2.062	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.358	 2.358	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.116	 3.116	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.407	 3.407	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.549	 3.549	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.550	 3.550	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.541	 3.541	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.552	 3.552	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.552	 3.552	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.556	 3.556	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.557	 3.557	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.045	 2.045	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.362	 2.362	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.126	 3.126	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.523	 3.523	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.720	 3.720	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.782	 3.782	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.767	 3.767	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.781	 3.781	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.783	 3.783	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.784	 3.784	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.784	 3.784	 0.000	 0	 16000	0.0000
