DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tmp2.wav	 1.811	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.915	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.964	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.216	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.473	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.920	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.667	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.965	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.262	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.062	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.358	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.116	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.407	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.549	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.550	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.541	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.552	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.552	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.556	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.557	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.045	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.362	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.126	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.523	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.720	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.782	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.767	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.781	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.783	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.784	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.784	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.476	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.825	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.975	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.075	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.129	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.249	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.529	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.878	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.660	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.063	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.286	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.963	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.458	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.929	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.213	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.334	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.378	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.400	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.406	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.408	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.407	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.408	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.002	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.542	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.996	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.237	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.528	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.597	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.622	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.623	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.626	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.626	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.627	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.423	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.633	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.836	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.958	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.987	 0.000	 0	 16000	0.0000
